ID,Area,Location,No_of_Bedrooms,New/Resale,Gymnasium,Lift_Available,Car_Parking,Maintenance_Staff,24x7_Security,Children_Play_Area,Clubhouse,Intercom,Landscaped_Gardens,Indoor_Games,Gas_Connection,Jogging_Track,Swimming_Pool,Price
3291,590,Nala Sopara,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,2250000
3292,550,Nala Sopara,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300000
3293,550,Nala Sopara,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2300000
3294,750,Borivali West,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9500000
3295,800,Powai,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,14500000
3296,575,Borivali West,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,9500000
3297,750,Borivali West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000000
3298,1300,Dahisar East,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000000
3299,1500,Dahisar West,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29500000
3300,1400,Borivali West,3,0,1,1,1,0,1,1,0,1,1,0,0,1,1,38000000
3301,950,Borivali East,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000000
3302,1015,Kharghar,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8200000
3303,1654,Mulund West,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22500000
3304,1654,Mulund West,3,0,1,1,0,0,0,1,1,1,0,0,1,0,1,22500000
3305,400,Dahisar West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500000
3306,650,Dahisar West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500000
3307,1125,Borivali West,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,18000000
3308,900,Borivali West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,12000000
3309,750,Borivali West,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12600000
3310,550,Dahisar West,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9000000
3311,750,Borivali West,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12700000
3312,600,Borivali West,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,8800000
3313,693,Mira Road East,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,6000000
3314,1060,Kharghar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000
3315,1060,Kharghar,2,0,1,1,0,0,0,1,1,1,0,0,0,0,1,9000000
3316,1100,Kharghar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8600000
3317,1100,Kharghar,2,0,1,1,0,0,0,1,1,1,0,0,0,0,1,8600000
3318,640,Ulwe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4200000
3319,640,Ulwe,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4200000
3320,1031,Kharghar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000
3321,1031,Kharghar,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,9000000
3322,1100,Kharghar,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,10000000
3323,620,Kharghar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600000
3324,620,Kharghar,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,5600000
3325,615,Seawoods,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,8600000
3326,1310,Nerul,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,23500000
3327,605,Seawoods,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8000000
3328,1250,Seawoods,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,21500000
3329,1205,Seawoods,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,19100000
3330,1250,Seawoods,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,21700000
3331,1205,Seawoods,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,19200000
3332,1300,Seawoods,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,21500000
3333,1205,Seawoods,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,19000000
3334,682,Seawoods,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,7500000
3335,1425,Seawoods,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,21000000
3336,1425,Seawoods,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,21000000
3337,1092,Seawoods,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,13500000
3338,1080,Kharghar,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8500000
3339,980,Kharghar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500000
3340,980,Kharghar,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,10500000
3341,685,Kharghar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500000
3342,685,Kharghar,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6500000
3343,1120,Khar West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000000
3344,1525,Kharghar,3,0,1,1,0,0,0,1,1,1,0,0,0,0,1,15500000
3345,1370,Kharghar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13500000
3346,1370,Kharghar,3,0,1,1,0,0,0,1,1,1,0,0,0,0,1,13500000
3347,1150,Kharghar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000
3348,1150,Kharghar,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9000000
3349,1250,Thane West,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1,14000000
3350,810,Ghatkopar East,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,14000000
3351,642,Ghatkopar East,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,11000000
3352,2360,Ville Parle East,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,51500000
3353,1620,Parel,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,45500000
3354,3150,Prabhadevi,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,90399999
3355,335,Ghatkopar East,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,6000000
3356,1728,Ville Parle East,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,35700000
3357,1250,Chembur,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,23000000
3358,1040,Ghatkopar West,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,20500000
3359,1560,Mulund West,3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,27000000
3360,927,Mulund West,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,15500000
3361,1835,Thane West,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1,22500000
3362,1050,Thane West,2,0,1,1,0,0,0,0,1,1,0,0,1,0,1,9500000
3363,600,Mulund East,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8500000
3364,450,Ulwe,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2750000
3365,1050,Ulwe,2,0,1,1,1,0,1,0,1,1,1,0,0,1,0,7200000
3366,1550,Ulwe,2,0,1,1,1,0,1,1,1,1,0,1,0,1,1,9000000
3367,1100,Ulwe,2,0,1,1,1,0,1,1,1,1,0,1,0,1,0,7000000
3368,650,Ulwe,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4000000
3369,630,Ulwe,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3950000
3370,680,Ulwe,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,4500000
3371,1335,Thane West,3,1,1,1,0,0,0,1,1,1,0,0,1,0,1,14500000
3372,3100,Bandra Kurla Complex,4,0,1,1,0,0,0,1,1,1,0,0,1,0,1,95000000
3373,1450,Kharghar,3,0,1,1,0,0,0,1,1,1,0,0,0,0,1,15500000
3374,1289,Goregaon West,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28500000
3375,920,Kharghar,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7500000
3376,1220,Kharghar,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8500000
3377,560,Kharghar,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5600000
3378,1290,Malad East,2,0,1,1,0,0,0,1,1,0,0,0,0,1,1,24000000
3379,600,Borivali West,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9500000
3380,650,Borivali West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500000
3381,1100,Karanjade,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,17200000
